video_id,video_title,upload_date,view_count,like_count,comment_count
h4puc1P2VMA,Pro Designer Gary Simon Talks Freelance + Career Tips [Podcast #123],2024-05-10,10684,256,6
pHQfw1W7V8s,Tezos Blockchain Developer Course – Python Web3 Development,2024-05-09,16636,636,26
zTjRZNkhiEU,Learn Git – Full Course for Beginners,2024-05-08,65061,2825,179
HJd1I3FdSnY,Deep Learning Course for Beginners,2024-05-06,50014,1808,107
fJIsqZmQVZQ,Code a Chess Game with Stockfish API – JavaScript Tutorial,2024-05-02,32501,1035,33
5kJv254sebQ,Easily Automate Business Tasks – No-Code Automation Course,2024-03-28,113002,3244,77
tN6oJu2DqCM,Back End Developer Roadmap 2024,2024-03-11,332445,12694,445
mEsleV16qdo,"Generative AI Full Course – Gemini Pro, OpenAI, Llama, Langchain, Pinecone, Vector Databases &amp; More",2024-02-27,580675,21962,791
PSNXoAs2FtQ,"Data Analyst Bootcamp for Beginners (SQL, Tableau, Power BI, Python, Excel, Pandas, Projects, more)",2024-01-09,759745,26669,550
ft-hs2a_zno,Calming Web Development – Colored Markers,2023-08-08,42848,1386,13
YT8s-90oDC0,Advanced C# Programming Course,2023-06-27,513035,12856,235
MIL2BK02X8A,Pointers in C for Absolute Beginners – Full Course,2023-06-15,193694,6342,168
BpPEoZW5IiY,Learn Rust Programming - Complete Course 🦀,2023-06-08,570146,14041,437
IA3WxTTPXqQ,Deep Learning for Computer Vision with Python and TensorFlow – Complete Course,2023-06-06,668025,19526,552
_IgbB24scLI,Neo4j Course for Beginners,2023-06-01,78235,1609,57
jlogLBkPZ2A,"Build AI Apps with ChatGPT, DALL-E, and GPT-4 – Full Course for Beginners",2023-05-30,161967,4988,131
qrZGfBBlXpk,Django ChatGPT Clone Tutorial,2023-05-24,88411,2317,104
FRmCxj9K7II,"Full-Stack Next.js, TypeScript, and AWS Course – Code a Quote Generator",2023-05-22,87694,2659,74
GizsSo-EevA,Use ChatGPT to Code a Full Stack App – Full Course,2023-05-18,235256,6394,191
ypNKKYUJE5o,JavaScript Security Vulnerabilities Tutorial  – With Code Examples,2023-05-16,69013,2874,77
K7ghUiXLef8,Ionic &amp; Capacitor for Building Native Mobile Apps – Full Course for Beginners,2023-05-15,93840,1929,93
un6ZyFkqFKo,Go Programming – Golang Course with Bonus Projects,2023-05-11,608513,12930,348
n3tA3Ku65_8,.NET MAUI Course for Beginners – Create Cross-Platform Apps with C#,2023-05-04,138289,2671,104
2IZKK3pJQjg,Machine Learning Foundations Course – Regression Analysis,2023-05-03,138419,4805,124
mBoX_JCKZTE,Scrapy Course – Python Web Scraping for Beginners,2023-04-27,378878,8968,379
fZPgBnL2x-Q,Zustand React State Management Course (Simple Redux Alternative),2023-04-25,109772,2416,106
nDGA3km5He4,React Router 6 – Full Course,2023-04-24,227497,5821,297
uRQH2CFvedY,ChatGPT Course – Use The OpenAI API to Code 5 Projects,2023-04-19,814936,23264,530
UFD4SP91tSM,"Firebase Tutorial for Beginners – Build a Mobile App with HTML, CSS, JavaScript",2023-04-12,187828,6509,330
obH0Po_RdWk,React Native Course – Android and iOS App Development,2023-04-10,364047,8220,250
5l2qA3Pc83M,Advanced C# – LINQ Tutorial,2023-04-06,102115,2214,47
OcTPaUfay5I,"Personal Website Tutorial with Next.js 13, Sanity.io, TailwindCSS, and TypeScript",2023-04-05,172674,3595,395
MsnQ5uepIaE,"Frontend Web Development: In-Depth Project Tutorial (HTML, CSS, JavaScript, TypeScript, React)",2023-04-04,283632,8840,144
vufTSJbzKGU,Python Reinforcement Learning using Gymnasium – Full Course,2023-03-21,83004,1815,85
2-crBg6wpp0,Learn React 18 with Redux Toolkit – Full Tutorial for Beginners,2023-03-15,610578,12367,455
VrSJhTGMM90,What is Python used for?,2023-03-14,231500,10244,125
sD468LfeVdc,Data Science Job Interview – Full Mock Interview,2023-03-13,483567,12457,317
SIj4pzF0uk8,A Day in the Life of freeCodeCamp U.S. Staff (A rare in-person meeting),2023-03-07,303256,15288,285
ydOTMQC7np0,LaTeX – Full Tutorial for Beginners,2023-03-06,475429,10673,295
YY2ZhUQZyE4,Why Node and React?,2023-03-01,150711,7424,144
wuSQpLinRB4,AlphaZero from Scratch – Machine Learning Tutorial,2023-02-28,122133,3719,194
sWbUDq4S6Y8,Introduction to Linux – Full Course for Beginners,2023-02-23,1499697,36375,545
yBDHkveJUf4,Web Development with Python Tutorial – Flask &amp; Dynamic Database-Driven Web Apps,2023-02-16,336390,6697,389
WXsD0ZgxjRw,APIs for Beginners 2023 - How to use an API (Full Course / Tutorial),2023-02-06,1744086,32969,676
1hG0i9dQXeg,Passwords in HTML #shorts,2023-02-03,60152,3605,30
ZxMB6Njs3ck,Learn Django by Building an Online Marketplace – Python Tutorial for Beginners,2023-02-01,385286,7503,354
2JYT5f2isg4,Full HTTP Networking Course – Fetch and REST APIs in JavaScript,2023-01-30,802608,27201,374
9FwhRztQNLg,Using map() in Python #shorts,2023-01-27,63654,3302,42
DIJN32qPS6Y,Chrome Dinosaur Game Tricks #shorts,2023-01-26,59047,1664,18
